Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2022-007038,31040362632,1/9/2022 8:20,,1/9/2022 9:24,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,J,J3,PHINNEY RIDGE,7XX BLOCK OF N 66TH ST,-122.3485846,47.67688745
2022-006960,31039931399,1/9/2022 6:24,,1/9/2022 7:05,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,U,U1,ROOSEVELT/RAVENNA,54XX BLOCK OF 25TH AVE NE,-122.3006173,47.66825204
2022-006959,31039912858,1/9/2022 6:10,,1/9/2022 6:56,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,J,J3,ROOSEVELT/RAVENNA,84XX BLOCK OF AURORA AVE N,-122.34452,47.69019929
2022-006887,31039917115,1/9/2022 2:31,,1/9/2022 6:40,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U1,ROOSEVELT/RAVENNA,ROOSEVELT WAY NE / NE 70TH ST,-122.3174134,47.67947022
2022-006950,31040194869,1/9/2022 5:38,,1/9/2022 6:10,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,L,L3,LAKECITY,107XX BLOCK OF LAKE CITY WAY NE,-122.3015283,47.70756602
2022-006930,31039694271,1/9/2022 4:22,,1/9/2022 5:34,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,B,B3,WALLINGFORD,40XX BLOCK OF WALLINGFORD AVE N,-122.336249,47.6562327
2022-006888,31039526141,1/9/2022 2:42,,1/9/2022 4:29,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SW,F,F3,SOUTH PARK,89XX BLOCK OF 14TH AVE S,-122.3149607,47.52346714
2022-006907,31039522924,1/9/2022 3:24,,1/9/2022 4:27,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,B,B1,BALLARD SOUTH,51XX BLOCK OF 14TH AVE NW,-122.373591,47.666066
2022-006872,31039308862,1/9/2022 2:03,,1/9/2022 3:19,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,E,E2,CAPITOL HILL,15XX BLOCK OF 13TH AVE,-122.3155393,47.61469288
2022-006105,31038894066,1/8/2022 1:53,,1/9/2022 1:10,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,E,E,E2,CAPITOL HILL,10XX BLOCK OF E PIKE ST,-122.3187939,47.6140898
2022-006814,31038896305,1/9/2022 0:08,,1/9/2022 0:58,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,N,N3,BITTERLAKE,107XX BLOCK OF AURORA AVE N,-122.3447214,47.70670707
2022-006786,31038878921,1/8/2022 23:15,,1/9/2022 0:43,A,PROPERTY,ARSON,Arson,200,W,Q,Q1,MAGNOLIA,15TH AVE W / W RAYE ST,-122.3761697,47.64294366
2022-006699,31038674963,1/8/2022 20:42,,1/9/2022 0:24,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,W,K,K2,PIONEER SQUARE,3XX BLOCK OF S KING ST,-122.3303431,47.59828896
2022-006698,31038046136,1/8/2022 20:30,,1/8/2022 22:59,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R3,COLUMBIA CITY,36XX BLOCK OF S EDMUNDS ST,-122.2869137,47.55865955
2022-006692,31038134911,1/8/2022 12:30,,1/8/2022 22:56,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,W,D,D1,BELLTOWN,25XX BLOCK OF WESTERN AVE,-122.3500738,47.61430799
2022-006730,31037997342,1/8/2022 21:26,,1/8/2022 22:41,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,S JACKSON ST / 12TH AVE S,-122.3172228,47.59918907
2022-006706,31038964115,1/8/2022 20:59,,1/8/2022 22:11,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,N,U,U1,ROOSEVELT/RAVENNA,24XX BLOCK OF NE 65TH ST,-122.3011629,47.67577382
2022-006702,31037797054,1/8/2022 20:53,,1/8/2022 22:09,A,SOCIETY,ANIMAL CRUELTY,Animal Cruelty,720,N,L,L3,UNKNOWN,31ST AVE NE / NE 123RD ST,-122.2951796,47.71738737
2022-006702,31037650018,1/8/2022 20:53,,1/8/2022 22:09,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,L,L3,UNKNOWN,31ST AVE NE / NE 123RD ST,-122.2951796,47.71738737
2022-006672,31037472349,1/8/2022 19:51,,1/8/2022 21:18,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,S,O,O1,SODO,24XX BLOCK OF 1ST AVE S,-122.3342002,47.58085317
2022-006672,31037483790,1/8/2022 19:51,,1/8/2022 21:18,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,S,O,O1,SODO,24XX BLOCK OF 1ST AVE S,-122.3342002,47.58085317
2022-006667,31037361173,1/8/2022 19:47,,1/8/2022 20:49,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,S,R,R1,NORTH BEACON HILL,21ST AVE S / S PLUM ST,-122.3055407,47.58550389
2022-006635,31037195519,1/8/2022 18:54,,1/8/2022 20:16,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,S,R,R2,CLAREMONT/RAINIER VISTA,29XX BLOCK OF S DAKOTA ST,-122.2973713,47.56618295
2022-006620,31036962054,1/8/2022 18:23,,1/8/2022 19:34,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,E,C,C2,MONTLAKE/PORTAGE BAY,21XX BLOCK OF E HAMLIN ST,-122.3032965,47.64555219
2022-006499,31036859798,1/8/2022 15:25,,1/8/2022 19:14,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,N,N1,BITTERLAKE,134XX BLOCK OF GREENWOOD AVE N,-122.3555559,47.72731779
2022-006589,31031647623,1/8/2022 17:23,,1/8/2022 18:01,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,N,U,U2,UNIVERSITY,45XX BLOCK OF UNIVERSITY WAY NE,-122.3131157,47.66218058
2022-006556,31031977571,1/8/2022 16:30,,1/8/2022 18:00,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,E,C,C1,MILLER PARK,,0,0
2022-006549,31030668743,1/8/2022 16:15,,1/8/2022 17:23,A,PROPERTY,ROBBERY,Robbery,120,N,L,L3,LAKECITY,30XX BLOCK OF NE 127TH ST,-122.2952484,47.72109192
2022-006546,31027772107,1/8/2022 16:27,,1/8/2022 17:03,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,O,O2,GEORGETOWN,48XX BLOCK OF DENVER AVE S,-122.3316322,47.5592171
2022-006470,31022249898,1/8/2022 14:51,,1/8/2022 15:39,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,G,G1,FIRST HILL,,0,0
2022-006470,31022671761,1/8/2022 14:51,,1/8/2022 15:39,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,G,G1,FIRST HILL,,0,0
2022-006466,31021734431,1/8/2022 0:00,,1/8/2022 15:34,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,K,K2,PIONEER SQUARE,1ST AVE S / S MAIN ST,-122.3341849,47.60004423
2022-006404,31013138815,1/8/2022 12:41,,1/8/2022 14:44,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,N,U,U2,UNIVERSITY,BROOKLYN AVE NE / NE 42ND ST,-122.3143633,47.65832864
2022-006397,31005513971,1/8/2022 12:37,,1/8/2022 14:07,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,N,B,B2,BALLARD SOUTH,11XX BLOCK OF NW MARKET ST,-122.3721741,47.66866365
2022-006392,31001592986,1/8/2022 11:30,,1/8/2022 13:35,B,SOCIETY,"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",90F,N,L,L2,NORTHGATE,,0,0
2022-006396,31000300574,1/8/2022 12:36,,1/8/2022 13:21,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,W,M,M3,DOWNTOWN COMMERCIAL,3RD AVE / UNION ST,-122.3368846,47.60875623
2022-006361,30996866346,1/8/2022 11:33,,1/8/2022 12:46,A,PROPERTY,ROBBERY,Robbery,120,N,N,N2,NORTHGATE,116XX BLOCK OF AURORA AVE N,-122.3448343,47.71354798
