Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2022-010041,31128598942,1/13/2022 4:47,,1/13/2022 6:13,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,E,C,C1,CAPITOL HILL,E MADISON ST / 15TH AVE,-122.3127715,47.61449899
2022-009927,31126651991,1/12/2022 8:00,,1/13/2022 2:37,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,5XX BLOCK OF RAINIER AVE S,-122.3130836,47.59791145
2022-009913,31126115111,1/12/2022 22:56,,1/13/2022 1:23,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,C,C1,CAPITOL HILL,14XX BLOCK OF E PROSPECT ST,-122.313559,47.62841
2022-009921,31125880117,1/12/2022 23:06,,1/13/2022 0:42,A,PROPERTY,ROBBERY,Robbery,120,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,S KING ST / 8TH AVE S,-122.3224483,47.59834756
2022-009869,31125651953,1/12/2022 21:36,,1/13/2022 0:06,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,R,R3,LAKEWOOD/SEWARD PARK,77XX BLOCK OF SEWARD PARK AVE S,-122.2666726,47.53277083
2022-009821,31125261190,1/12/2022 20:20,,1/12/2022 23:31,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,B,B2,BALLARD SOUTH,8XX BLOCK OF NW 54TH ST,-122.367393,47.66789898
2022-009848,31124449999,1/12/2022 21:03,,1/12/2022 22:42,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SW,F,F2,SOUTH DELRIDGE,94XX BLOCK OF 16TH AVE SW,-122.3551548,47.51827803
2022-009886,31124380843,1/12/2022 22:00,,1/12/2022 22:42,A,PROPERTY,ROBBERY,Robbery,120,W,M,M2,DOWNTOWN COMMERCIAL,PINE ST / 3RD AVE,-122.3387015,47.61074295
2022-009603,31124348525,1/12/2022 15:00,,1/12/2022 22:29,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,K,K1,UNKNOWN,,0,0
2022-009603,31124442765,1/12/2022 15:00,,1/12/2022 22:29,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,N,B,B2,BALLARD SOUTH,9XX BLOCK OF NW 45TH ST,-122.3696925,47.66146817
2022-009676,31124674880,1/12/2022 16:39,,1/12/2022 22:19,A,PERSON,SEX OFFENSES,Sodomy,11B,E,C,C2,CENTRAL AREA/SQUIRE PARK,,0,0
2022-009873,31124193228,1/12/2022 15:00,,1/12/2022 22:11,A,PROPERTY,ROBBERY,Robbery,120,N,U,U2,UNIVERSITY,47XX BLOCK OF UNIVERSITY WAY NE,-122.313088,47.66399626
2022-009787,31124083104,1/12/2022 19:30,,1/12/2022 22:01,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,O,O3,GEORGETOWN,10XX BLOCK OF S BAILEY ST,-122.3195379,47.54746464
